rank,team,conf,record,adjoe,oe Rank,adjde,de Rank,barthag,rank.1,proj. W,Proj. L,Pro Con W,Pro Con L,Con Rec.,sos,ncsos,consos,Proj. SOS,Proj. Noncon SOS,Proj. Con SOS,elite SOS,elite noncon SOS,Opp OE,Opp DE,Opp Proj. OE,Opp Proj DE,Con Adj OE,Con Adj DE,Qual O,Qual D,Qual Barthag,Qual Games,FUN,ConPF,ConPA,ConPoss,ConOE,ConDE,ConSOSRemain,Conf Win%,WAB,WAB Rk,Fun Rk, adjt,TeamID
1,Louisville,Amer,31-6,119.36526339591012,10,88.2206864839768,2,0.9700258592654306,1,31,6,15,3,15-3,0.6012254631740442,0.4509361191518144,0.6634280728564144,0.6012254631740442,0.4509361191518144,0.6634280728564144,0.7735072633875523,0.8650860300490074,107.55648128860152,102.51444573975196,107.55648128860152,102.51444573975196,118.81991263029988,88.44255350714106,127.17520274908924,98.32170919979582,0.9506960223805622,12,-0.0680627396440051,1435.0,1121.0,1237.275,1.1598068335656988,0.9060233173708352,0,0.8333333333333334,5.384988916238213,15,303,66.80435118146156,1257
2,Arizona,P12,33-5,116.73227727284672,19,88.06505187881113,1,0.9623405382265748,2,33,5,15,3,15-3,0.7060218073854829,0.5746069629941759,0.7568158583379779,0.7060218073854829,0.5746069629941759,0.7568158583379779,0.7008925875455375,0.7828753023627409,110.45206003033228,100.41130509517664,110.45206003033228,100.41130509517664,113.07613673684148,86.5871012965662,120.19715271846891,91.08768242690084,0.9604210208615436,16,0.02323730954603,1287.0,1083.0,1189.775,1.0817171313903888,0.9102561408669706,0,0.8333333333333334,9.47638085052312,2,129,62.3441047552342,1112
3,Florida,SEC,36-3,116.4005411360991,20,89.06091534005914,3,0.9560072637401378,3,36,3,18,0,18-0,0.7107090384650342,0.5911346251702927,0.7426006240205222,0.7107090384650342,0.5911346251702927,0.7426006240205222,0.6930944773632883,0.7631113076894014,110.31231206646008,99.87507267840304,110.31231206646008,99.87507267840304,118.58832209378994,89.62439454213285,122.01728427552804,90.20594005583824,0.969932319673771,15,0.1025551525414851,1284.0,1048.0,1129.3375,1.1369497603683574,0.9279776860327404,0,1.0,11.769675718997709,1,16,61.085421720049176,1196
4,Virginia,ACC,30-7,115.15787966169128,26,90.2415206867264,5,0.9428843655774818,4,30,7,16,2,16-2,0.6978155850169808,0.5626723013461254,0.7578316156759812,0.6978155850169808,0.5626723013461254,0.7578316156759812,0.6928291323810238,0.7804063022448413,110.3241579384296,100.35662681039004,110.3241579384296,100.35662681039004,117.80883191418944,87.39616334736982,125.55771276377114,98.66548780743064,0.9411354718944308,17,0.0267221248243862,1213.0,981.0,1078.2,1.1250231867928029,0.9098497495826376,0,0.8888888888888888,8.233178153941287,4,120,59.245590099920975,1438
5,Wisconsin,B10,30-8,123.20305245850162,4,96.65453099696738,38,0.9421844632898732,5,30,8,12,6,12-6,0.7486386510143134,0.5998522720689856,0.8130281818469889,0.7486386510143134,0.5998522720689856,0.8130281818469889,0.6544722198140793,0.7614924581819756,111.0128363699087,98.77051098406056,111.0128363699087,98.77051098406056,122.53512233790345,98.32335673142678,133.7759510023783,105.73362479182978,0.937338632504688,19,0.0344547292219858,1293.0,1203.0,1147.0875,1.12720258916604,1.0487430121939258,0,0.6666666666666666,7.959108422892896,6,92,61.9618900574747,1458
6,Duke,ACC,26-9,126.41612770443608,1,99.35403912781226,71,0.9410456695998268,6,26,9,13,5,13-5,0.7164471198679444,0.6022188115869919,0.7773815219922242,0.7164471198679444,0.6022188115869919,0.7773815219922242,0.6941556312853829,0.7659838906397682,110.52407427315036,99.88557389770432,110.52407427315036,99.88557389770432,126.8921262581061,97.72201488390522,143.9040875893675,111.22840963202762,0.9508254205655768,13,-0.0389515041783695,1365.0,1185.0,1147.3249999999998,1.189723923038372,1.0328372518684767,0,0.7222222222222222,6.514888102569944,12,258,64.7280174351437,1181
7,Tennessee,SEC,23-13,118.69954273793108,13,94.03079475452328,17,0.9357875192362168,7,23,13,11,7,11-7,0.6911913307031496,0.5673024318140972,0.7306862069122597,0.6911913307031496,0.5673024318140972,0.7306862069122597,0.7080492517170476,0.7781838565216903,109.70362688888558,100.52571034455876,109.70362688888558,100.52571034455876,117.63246216694375,93.22038516998025,119.9655881383872,98.29332186117576,0.908159091334093,11,-0.1396809101074578,1249.0,1098.0,1128.3625000000002,1.106913779924448,0.9730915375156476,0,0.6111111111111112,0.4087511080686768,55,346,61.10758916156493,1397
8,Michigan St.,B10,29-9,120.11481080265172,6,95.95319617144332,32,0.9297435291803138,8,29,9,12,6,12-6,0.7273842327748159,0.5497527319667348,0.8148127382952491,0.7273842327748159,0.5497527319667348,0.8148127382952491,0.665859878167838,0.8018698881838506,110.98819498060207,99.69700284865765,110.98819498060207,99.69700284865765,119.46488496817352,96.43332936875552,130.12165398450895,101.02167529216662,0.948389942782024,19,0.0337318713624963,1299.0,1192.0,1168.5125,1.1116697510724105,1.0201003412458147,0,0.6666666666666666,6.950097134293434,10,96,64.25482063209178,1277
9,Wichita St.,MVC,34-1,117.00837570271202,18,93.58641705963728,13,0.9288160294911968,9,34,1,18,0,18-0,0.5560767306143475,0.6056719604226591,0.5141310115511671,0.5560767306143475,0.6056719604226591,0.5141310115511671,0.8340558222457516,0.7859455975206636,106.60852677429943,104.01018764568904,106.60852677429943,104.01018764568904,115.17038554800524,92.7378755437732,143.89585766914212,114.83687499201332,0.9304833324654048,3,0.0978662098018796,1330.0,1050.0,1151.35,1.1551656750770831,0.9119729013766448,0,1.0,8.23286119929523,5,19,63.14260945553889,1455
10,Michigan,B10,28-9,125.52091710628682,3,100.62687515533676,89,0.927041666522709,10,28,9,15,3,15-3,0.7290248274674443,0.5290226831834827,0.8260568381190582,0.7290248274674443,0.5290226831834827,0.8260568381190582,0.6358422791809002,0.749051662772875,110.7019076565003,99.08729485165136,110.7019076565003,99.08729485165136,125.61461374981336,100.08369078683234,132.68172195407456,107.12535568362338,0.9213233897158218,21,0.0625155932447261,1315.0,1194.0,1122.15,1.1718575947957048,1.0640288731453016,0,0.8333333333333334,7.742944417126875,8,52,60.577937460444375,1276
